"","V1","V2","V3"
"805.9722",805.9722,0.000275,-0.00495
"806",806,0.003025,-0.05445
"806.0278",806.0278,0.00505,-0.0909
"806.0556",806.0556,0.007075,-0.12735
"806.0833",806.0833,0.009125,-0.16425
"806.1111",806.1111,0.011125,-0.20025
"806.1389",806.1389,0.013175,-0.23715
"806.1667",806.1667,0.015175,-0.27315
"806.1944",806.1944,0.017225,-0.31005
"806.2222",806.2222,0.01925,-0.3465
"806.25",806.25,0.02055,-0.3699
"806.2778",806.2778,0.02055,-0.3699
"806.3056",806.3056,0.02055,-0.3699
"806.3333",806.3333,0.02055,-0.3699
"806.3611",806.3611,0.020525,-0.36945
"806.3889",806.3889,0.020525,-0.36945
"806.4167",806.4167,0.020375,-0.36675
"806.4444",806.4444,0.01955,-0.3519
"806.4722",806.4722,0.01875,-0.3375
"806.5",806.5,0.017975,-0.32355
"806.5278",806.5278,0.01725,-0.3105
"806.5556",806.5556,0.01655,-0.2979
"806.5833",806.5833,0.015875,-0.28575
"806.6111",806.6111,0.015225,-0.27405
"806.6389",806.6389,0.0146,-0.2628
"806.6667",806.6667,0.014,-0.252
"806.6944",806.6944,0.013425,-0.24165
"806.7222",806.7222,0.012875,-0.23175
"806.75",806.75,0.01235,-0.2223
"806.7778",806.7778,0.01185,-0.2133
"806.8056",806.8056,0.011375,-0.20475
"806.8333",806.8333,0.0109,-0.1962
"806.8611",806.8611,0.01045,-0.1881
"806.8889",806.8889,0.010025,-0.18045
"806.9167",806.9167,0.009625,-0.17325
"806.9444",806.9444,0.009225,-0.16605
"806.9722",806.9722,0.00885,-0.1593
"807",807,0.0085,-0.153
"807.0278",807.0278,0.00815,-0.1467
"807.0556",807.0556,0.007825,-0.14085
"807.0833",807.0833,0.0075,-0.135
"807.1111",807.1111,0.0072,-0.1296
"807.1389",807.1389,0.0069,-0.1242
"807.1667",807.1667,0.006625,-0.11925
"807.1944",807.1944,0.00635,-0.1143
"807.2222",807.2222,0.006075,-0.10935
"807.25",807.25,0.00585,-0.1053
"807.2778",807.2778,0.0056,-0.1008
"807.3056",807.3056,0.005375,-0.09675
"807.3333",807.3333,0.00515,-0.0927
"807.3611",807.3611,0.00495,-0.0891
"807.3889",807.3889,0.00475,-0.0855
"807.4167",807.4167,0.00455,-0.0819
"807.4444",807.4444,0.00435,-0.0783
"807.4722",807.4722,0.004175,-0.07515
"807.5",807.5,0.004025,-0.07245
"807.5278",807.5278,0.00385,-0.0693
"807.5556",807.5556,0.0037,-0.0666
"807.5833",807.5833,0.00355,-0.0639
"807.6111",807.6111,0.0034,-0.0612
"807.6389",807.6389,0.00325,-0.0585
"807.6667",807.6667,0.003125,-0.05625
"807.6944",807.6944,0.003,-0.054
"807.7222",807.7222,0.002875,-0.05175
"807.75",807.75,0.00275,-0.0495
"807.7778",807.7778,0.00265,-0.0477
"807.8056",807.8056,0.002525,-0.04545
"807.8333",807.8333,0.002425,-0.04365
"807.8611",807.8611,0.002325,-0.04185
"807.8889",807.8889,0.00225,-0.0405
