Year,Source ,GREENLAND,GREENLAND,ANTARCTICA,ANTARCTICA,Global volcanic forcing (GVF),GVF,"Global forcing (Crowley 2013) (time-integrated, large tropical eruptions, 1600-2000)",
CE,"1, tropical; 2, NH; 3 SH",Sulfate [kg km-2],estimated uncertainty [kg km-2],Sulfate [kg km-2],estimated uncertainty [kg km-2],W [m-2],estimated uncertainty [W m-2],CE,W [m-2]
641,3,,,2.5,1.2,-0.50,-0.28,,
637,1,5.7,1.5,1.5,0.8,-1.44,-0.49,,
632,2,15.0,3.9,,,-1.71,-0.62,,
629,3,,,3.4,0.6,-0.68,-0.20,,
626,2,72.2,18.9,,,-8.24,-2.99,,
607,1,9.2,2.4,2.1,1.0,-2.25,-0.77,,
595,2,9.1,2.4,,,-1.04,-0.38,,
589,1,7.2,1.9,6.0,0.9,-2.64,-0.78,,
581,2,6.8,1.8,,,-0.78,-0.28,,
574,1,38.3,10.0,34.1,4.1,-14.49,-4.22,,
571,2,5.1,1.3,,,-0.58,-0.21,,
547,2,9.6,2.5,,,-1.09,-0.39,,
540,1,61.2,16.0,34.4,4.0,-19.14,-5.82,,
536,2,99.0,26.0,,,-11.30,-4.09,,
528,3,,,4.1,0.6,-0.81,-0.23,,
521,2,24.6,6.5,,,-2.81,-1.02,,
511,2,5.5,1.4,,,-0.62,-0.23,,
501,2,13.2,3.5,,,-1.51,-0.55,,
492,3,,,9.8,1.4,-1.97,-0.57,,
487,3,,,1.2,0.6,-0.24,-0.13,,
469,2,6.8,1.8,,,-0.77,-0.28,,
467,2,14.3,3.8,,,-1.63,-0.59,,
462,3,,,4.3,2.2,-0.86,-0.48,,
456,1,11.6,3.0,1.8,0.9,-2.68,-0.92,,
452,2,5.1,1.3,,,-0.58,-0.21,,
433,1,20.6,5.4,27.2,3.2,-9.57,-2.70,,
426,2,12.0,3.1,,,-1.37,-0.50,,
423,2,12.8,3.3,,,-1.45,-0.53,,
418,2,8.0,2.1,,,-0.91,-0.33,,
411,2,10.8,2.8,,,-1.23,-0.44,,
393,1,9.9,2.6,1.6,0.8,-2.30,-0.79,,
388,3,,,2.7,1.3,-0.54,-0.30,,
379,3,,,6.1,1.1,-1.23,-0.38,,
369,2,12.8,3.4,,,-1.46,-0.53,,
366,2,15.3,4.0,,,-1.75,-0.63,,
360,3,,,3.4,1.7,-0.69,-0.38,,
358,2,4.5,1.2,,,-0.51,-0.19,,
353,3,,,3.1,1.6,-0.62,-0.35,,
345,1,8.0,2.1,6.0,0.9,-2.80,-0.84,,
332,1,6.5,1.7,8.2,1.3,-2.95,-0.85,,
310,2,3.4,0.9,,,-0.39,-0.14,,
307,2,5.0,1.3,,,-0.57,-0.21,,
304,1,9.9,2.6,16.6,2.1,-5.31,-1.48,,
299,2,10.3,2.7,,,-1.18,-0.43,,
281,2,33.0,8.6,,,-3.76,-1.36,,
266,1,61.0,16.0,11.3,1.4,-14.46,-4.84,,
244,1,5.1,1.3,1.2,0.6,-1.26,-0.43,,
236,1,12.7,3.3,14.1,2.1,-5.35,-1.55,,
230,2,5.4,1.4,,,-0.62,-0.22,,
226,2,10.0,2.6,,,-1.14,-0.41,,
218,1,7.0,1.8,2.4,1.2,-1.88,-0.64,,
215,3,,,1.7,0.8,-0.34,-0.19,,
206,3,,,14.0,1.8,-2.81,-0.79,,
192,2,5.3,1.4,,,-0.60,-0.22,,
172,2,8.8,2.3,,,-1.00,-0.36,,
169,1,39.1,10.3,18.4,2.3,-11.51,-3.57,,
164,3,,,2.8,1.4,-0.57,-0.32,,
160,2,17.0,4.5,,,-1.94,-0.70,,
150,3,,,1.6,0.8,-0.32,-0.18,,
143,3,,,5.9,0.8,-1.18,-0.34,,
124,3,,,13.1,2.2,-2.62,-0.79,,
121,3,,,10.0,1.5,-2.00,-0.59,,
114,2,17.7,4.6,,,-2.02,-0.73,,
102,3,,,3.1,1.5,-0.61,-0.34,,
95,3,,,1.6,0.8,-0.33,-0.18,,
87,2,83.1,21.8,,,-9.48,-3.44,,
58,3,,,7.3,1.2,-1.46,-0.43,,
31,3,,,5.0,3.7,-0.99,-0.78,,
4,3,,,3.7,1.0,-0.74,-0.27,,
-8,3,,,9.1,2.4,-1.82,-0.66,,
-21,3,,,8.2,2.1,-1.63,-0.59,,
-35,2,6.4,1.7,,,-0.74,-0.27,,
-44,1,100.6,26.4,15.4,4.0,-23.21,-7.89,,
-46,2,18.1,4.8,,,-2.07,-0.75,,
-85,1,15.0,3.9,5.8,1.5,-4.15,-1.34,,
-100,3,,,14.0,3.7,-2.80,-1.01,,
-105,2,11.2,2.9,,,-1.27,-0.46,,
-123,1,21.5,5.6,11.3,3.0,-6.56,-2.08,,
-139,3,,,8.2,2.1,-1.63,-0.59,,
-141,2,28.8,7.6,,,-3.29,-1.19,,
-147,1,31.4,8.2,6.0,1.6,-7.50,-2.52,,
-158,2,13.2,3.5,,,-1.51,-0.55,,
-161,2,12.8,3.4,,,-1.46,-0.53,,
-164,2,11.5,3.0,,,-1.31,-0.48,,
-168,1,26.7,7.0,12.7,3.3,-7.90,-2.51,,
-180,2,5.6,1.5,,,-0.64,-0.23,,
-190,1,3.7,1.0,4.7,1.2,-1.69,-0.53,,
-209,1,11.6,3.0,15.9,4.2,-5.50,-1.72,,
-217,2,40.6,10.7,,,-4.63,-1.68,,
-228,2,6.6,1.7,,,-0.75,-0.27,,
-244,2,26.5,6.9,,,-3.02,-1.09,,
-247,1,17.3,4.5,12.6,3.3,-5.99,-1.87,,
-255,2,25.6,6.7,,,-2.92,-1.06,,
-279,2,4.9,1.3,,,-0.56,-0.20,,
-293,2,4.6,1.2,,,-0.52,-0.19,,
-299,2,15.5,4.1,,,-1.77,-0.64,,
-301,2,18.6,4.9,,,-2.12,-0.77,,
-326,3,,,20.5,5.4,-4.10,-1.49,,
-329,1,4.8,1.3,7.0,1.8,-2.35,-0.74,,
