ANNUAL MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Year
TSI (W/m2)
    YEAR   Lean_TSI_11-yr_cycle   Lean_TSI_cycle+background  
  1858.      1365.9066      1365.6875
  1859.      1366.1260      1365.9054
  1860.      1366.1963      1365.9718
  1861.      1366.0916      1365.8623
  1862.      1365.9496      1365.7120
  1863.      1365.8821      1365.6283
  1864.      1365.8370      1365.5660
  1865.      1365.7534      1365.4755
  1866.      1365.6909      1365.4119
  1867.      1365.6382      1365.3597
  1868.      1365.7977      1365.5194
  1869.      1366.0325      1365.7557
  1870.      1366.2708      1365.9944
  1871.      1366.2054      1365.9343
  1872.      1366.1576      1365.8876
  1873.      1365.9580      1365.6866
  1874.      1365.8406      1365.5582
  1875.      1365.7035      1365.4095
  1876.      1365.6586      1365.3593
  1877.      1365.6543      1365.3596
  1878.      1365.6135      1365.3309
  1879.      1365.6255      1365.3533
  1880.      1365.7689      1365.5000
  1881.      1365.9124      1365.6443
  1882.      1365.9313      1365.6676
  1883.      1365.9791      1365.7147
  1884.      1365.8812      1365.6166
  1885.      1365.7909      1365.5070
  1886.      1365.6487      1365.3417
  1887.      1365.6234      1365.2982
  1888.      1365.5962      1365.2628
  1889.      1365.5652      1365.2344
  1890.      1365.5912      1365.2690
  1891.      1365.8303      1365.5204
  1892.      1365.9163      1365.6190
  1893.      1366.0458      1365.7600
  1894.      1366.1332      1365.8553
  1895.      1366.0166      1365.7390
  1896.      1365.8434      1365.5581
  1897.      1365.7094      1365.4126
  1898.      1365.6982      1365.3899
  1899.      1365.6534      1365.3381
  1900.      1365.6216      1365.3074
  1901.      1365.5294      1365.2292
  1902.      1365.5165      1365.2378
  1903.      1365.7083      1365.4479
  1904.      1365.9651      1365.7180
  1905.      1365.7684      1365.5291
  1906.      1365.9651      1365.7255
  1907.      1365.8604      1365.6097
  1908.      1365.9426      1365.6748
  1909.      1365.8459      1365.5642
  1910.      1365.7173      1365.4309
  1911.      1365.6285      1365.3473
  1912.      1365.5706      1365.3010
  1913.      1365.5739      1365.3175
  1914.      1365.6302      1365.3844
  1915.      1365.9285      1365.6890
  1916.      1366.1349      1365.8990
  1917.      1366.2821      1366.0480
  1918.      1366.2454      1366.0096
  1919.      1366.0179      1365.7802
  1920.      1365.8523      1365.6178
  1921.      1365.7351      1365.5127
  1922.      1365.6019      1365.3948
  1923.      1365.6211      1365.4265
  1924.      1365.6436      1365.4581
  1925.      1365.8406      1365.6622
  1926.      1365.9348      1365.7633
  1927.      1366.1135      1365.9468
  1928.      1365.9885      1365.8245
  1929.      1365.9429      1365.7833
  1930.      1365.9159      1365.7655
  1931.      1365.7780      1365.6436
  1932.      1365.6583      1365.5364
  1933.      1365.5300      1365.4156
  1934.      1365.6361      1365.5275
  1935.      1365.8500      1365.7439
  1936.      1366.2373      1366.1333
  1937.      1366.1718      1366.0676
  1938.      1366.1079      1366.0031
  1939.      1366.0894      1365.9868
  1940.      1366.0143      1365.9242
  1941.      1365.9130      1365.8451
  1942.      1365.7847      1365.7419
  1943.      1365.6052      1365.5841
  1944.      1365.6224      1365.6140
  1945.      1365.8850      1365.8810
  1946.      1365.9818      1365.9791
  1947.      1366.2190      1366.2185
  1948.      1366.3475      1366.3490
  1949.      1366.2528      1366.2555
  1950.      1366.0098      1366.0131
  1951.      1365.7721      1365.7765
  1952.      1365.7653      1365.7676
  1953.      1365.6313      1365.6284
  1954.      1365.6599      1365.6564
  1955.      1365.7793      1365.7773
  1956.      1366.3097      1366.3109
  1957.      1366.6632      1366.6681
  1958.      1366.6246      1366.6328
  1959.      1366.3717      1366.3828
  1960.      1366.2682      1366.2767
  1961.      1365.9230      1365.9199
  1962.      1365.7656      1365.7484
  1963.      1365.7152      1365.6963
  1964.      1365.7114      1365.6976
  1965.      1365.7378      1365.7341
  1966.      1365.9058      1365.9178
  1967.      1366.0889      1366.1143
  1968.      1366.1295      1366.1644
  1969.      1366.2069      1366.2476
  1970.      1366.2036      1366.2426
  1971.      1365.9354      1365.9580
  1972.      1366.0519      1366.0525
  1973.      1365.8131      1365.7991
  1974.      1365.7448      1365.7271
  1975.      1365.5466      1365.5345
  1976.      1365.6458      1365.6453
  1977.      1365.8248      1365.8331
  1978.      1366.2616      1366.2747
  1979.      1366.6193      1366.6348
  1980.      1366.6323      1366.6482
  1981.      1366.6829      1366.6951
  1982.      1366.2808      1366.2859
  1983.      1366.1989      1366.1992
  1984.      1365.8088      1365.8103
  1985.      1365.6382      1365.6416
  1986.      1365.6345      1365.6379
  1987.      1365.7865      1365.7899
  1988.      1366.0792      1366.0826
  1989.      1366.6445      1366.6479
  1990.      1366.5499      1366.5533
  1991.      1366.4423      1366.4457
  1992.      1366.2987      1366.3021
  1993.      1366.0251      1366.0286
  1994.      1365.7937      1365.7971
  1995.      1365.6962      1365.6996
  1996.      1365.6086      1365.6121
  1997.      1365.7365      1365.7399
  1998.      1366.0986      1366.1021
  1999.      1366.3817      1366.3851
  2000.      1366.6836      1366.6836
  2001.      1366.6022      1366.6022
  2002.      1366.6807      1366.6807
  2003.      1366.2300      1366.2300
  2004.      1366.0480      1366.0480
  2005.      1365.8545      1365.8545
  2006.      1365.8107      1365.8107
  2007.      1365.7240      1365.7240
  2008.      1365.6918      1365.6918

