Orbital parameters for the last 2000 years to 2100 AD (Berger, 1978)
(Slightly higher precision than the calculation in the reference)

This file is available on
	https://pmip3.lsce.ipsl.fr/wiki/doku.php/pmip3:design:lm:index

Year   = Common Era (CE or AD)
ECCEN  = eccentricity of orbital ellipse
OBLIQ  = latitude of Tropic of Cancer in degrees
PERI   = longitude of perihelion 

       = spatial angle from vernal equinox to perihelion in degrees
         with sun as angle vertex

Note that for the period 0-2100 CE, the changes in orbital parameters
are well approximated by linear regressions:

ECCEN    = 0.017475 - 0.000000382 * Year
OBLIQ    = 23.697   - 0.000128    * Year
PERI-180 = 68.79    + 0.0170      * Year

  Year    ECCEN       OBLIQ       PERI-180
   197   0.0173952   23.670957    72.15982
   198   0.0173948   23.670833    72.17679
   199   0.0173945   23.670708    72.19375
   200   0.0173941   23.670584    72.21072
   201   0.0173938   23.670459    72.22768
   202   0.0173934   23.670335    72.24464
   203   0.0173930   23.670210    72.26161
   204   0.0173927   23.670085    72.27857
   205   0.0173923   23.669961    72.29554
   206   0.0173920   23.669836    72.31250
   207   0.0173916   23.669712    72.32947
   208   0.0173912   23.669587    72.34643
   209   0.0173909   23.669462    72.36340
   210   0.0173905   23.669338    72.38036
   211   0.0173901   23.669213    72.39733
   212   0.0173898   23.669088    72.41429
   213   0.0173894   23.668964    72.43126
   214   0.0173891   23.668839    72.44822
   215   0.0173887   23.668714    72.46519
   216   0.0173883   23.668590    72.48216
   217   0.0173880   23.668465    72.49912
   218   0.0173876   23.668340    72.51609
   219   0.0173873   23.668216    72.53305
   220   0.0173869   23.668091    72.55002
   221   0.0173865   23.667966    72.56699
   222   0.0173862   23.667842    72.58395
   223   0.0173858   23.667717    72.60092
   224   0.0173855   23.667592    72.61788
   225   0.0173851   23.667467    72.63485
   226   0.0173847   23.667343    72.65182
   227   0.0173844   23.667218    72.66878
   228   0.0173840   23.667093    72.68575
   229   0.0173836   23.666968    72.70272
   230   0.0173833   23.666844    72.71968
   231   0.0173829   23.666719    72.73665
   232   0.0173826   23.666594    72.75362
   233   0.0173822   23.666469    72.77059
   234   0.0173818   23.666345    72.78755
   235   0.0173815   23.666220    72.80452
   236   0.0173811   23.666095    72.82149
   237   0.0173808   23.665970    72.83846
   238   0.0173804   23.665845    72.85542
   239   0.0173800   23.665721    72.87239
   240   0.0173797   23.665596    72.88936
   241   0.0173793   23.665471    72.90633
   242   0.0173789   23.665346    72.92329
   243   0.0173786   23.665221    72.94026
   244   0.0173782   23.665097    72.95723
   245   0.0173779   23.664972    72.97420
   246   0.0173775   23.664847    72.99117
   247   0.0173771   23.664722    73.00814
   248   0.0173768   23.664597    73.02510
   249   0.0173764   23.664472    73.04207
   250   0.0173761   23.664347    73.05904
   251   0.0173757   23.664223    73.07601
   252   0.0173753   23.664098    73.09298
   253   0.0173750   23.663973    73.10995
   254   0.0173746   23.663848    73.12692
   255   0.0173742   23.663723    73.14389
   256   0.0173739   23.663598    73.16086
   257   0.0173735   23.663473    73.17783
   258   0.0173732   23.663348    73.19479
   259   0.0173728   23.663223    73.21176
   260   0.0173724   23.663098    73.22873
   261   0.0173721   23.662973    73.24570
   262   0.0173717   23.662849    73.26267
   263   0.0173713   23.662724    73.27964
   264   0.0173710   23.662599    73.29661
   265   0.0173706   23.662474    73.31358
   266   0.0173703   23.662349    73.33055
   267   0.0173699   23.662224    73.34752
   268   0.0173695   23.662099    73.36449
   269   0.0173692   23.661974    73.38146
   270   0.0173688   23.661849    73.39843
   271   0.0173684   23.661724    73.41541
   272   0.0173681   23.661599    73.43238
   273   0.0173677   23.661474    73.44935
   274   0.0173674   23.661349    73.46632
   275   0.0173670   23.661224    73.48329
   276   0.0173666   23.661099    73.50026
   277   0.0173663   23.660974    73.51723
   278   0.0173659   23.660849    73.53420
   279   0.0173655   23.660724    73.55117
   280   0.0173652   23.660599    73.56815
   281   0.0173648   23.660474    73.58512
   282   0.0173645   23.660348    73.60209
   283   0.0173641   23.660223    73.61906
   284   0.0173637   23.660098    73.63603
   285   0.0173634   23.659973    73.65300
   286   0.0173630   23.659848    73.66998
   287   0.0173626   23.659723    73.68695
   288   0.0173623   23.659598    73.70392
   289   0.0173619   23.659473    73.72089
   290   0.0173616   23.659348    73.73786
   291   0.0173612   23.659223    73.75484
   292   0.0173608   23.659098    73.77181
   293   0.0173605   23.658972    73.78878
   294   0.0173601   23.658847    73.80575
   295   0.0173597   23.658722    73.82273
   296   0.0173594   23.658597    73.83970
   297   0.0173590   23.658472    73.85667
   298   0.0173587   23.658347    73.87365
   299   0.0173583   23.658222    73.89062
   300   0.0173579   23.658096    73.90759
   301   0.0173576   23.657971    73.92457
   302   0.0173572   23.657846    73.94154
   303   0.0173568   23.657721    73.95851
   304   0.0173565   23.657596    73.97549
   305   0.0173561   23.657471    73.99246
   306   0.0173557   23.657345    74.00943
   307   0.0173554   23.657220    74.02641
   308   0.0173550   23.657095    74.04338
   309   0.0173547   23.656970    74.06036
   310   0.0173543   23.656844    74.07733
   311   0.0173539   23.656719    74.09430
   312   0.0173536   23.656594    74.11128
   313   0.0173532   23.656469    74.12825
   314   0.0173528   23.656344    74.14523
   315   0.0173525   23.656218    74.16220
   316   0.0173521   23.656093    74.17918
   317   0.0173517   23.655968    74.19615
   318   0.0173514   23.655843    74.21313
   319   0.0173510   23.655717    74.23010
   320   0.0173507   23.655592    74.24708
   321   0.0173503   23.655467    74.26405
   322   0.0173499   23.655341    74.28103
   323   0.0173496   23.655216    74.29800
   324   0.0173492   23.655091    74.31498
   325   0.0173488   23.654966    74.33195
   326   0.0173485   23.654840    74.34893
   327   0.0173481   23.654715    74.36590
   328   0.0173477   23.654590    74.38288
   329   0.0173474   23.654464    74.39986
   330   0.0173470   23.654339    74.41683
   331   0.0173467   23.654214    74.43381
   332   0.0173463   23.654088    74.45078
   333   0.0173459   23.653963    74.46776
   334   0.0173456   23.653838    74.48474
   335   0.0173452   23.653712    74.50171
   336   0.0173448   23.653587    74.51869
   337   0.0173445   23.653461    74.53567
   338   0.0173441   23.653336    74.55264
   339   0.0173437   23.653211    74.56962
   340   0.0173434   23.653085    74.58660
   341   0.0173430   23.652960    74.60357
   342   0.0173426   23.652834    74.62055
   343   0.0173423   23.652709    74.63753
   344   0.0173419   23.652584    74.65451
   345   0.0173416   23.652458    74.67148
   346   0.0173412   23.652333    74.68846
   347   0.0173408   23.652207    74.70544
   348   0.0173405   23.652082    74.72242
   349   0.0173401   23.651957    74.73939
   350   0.0173397   23.651831    74.75637
   351   0.0173394   23.651706    74.77335
   352   0.0173390   23.651580    74.79033
   353   0.0173386   23.651455    74.80730
   354   0.0173383   23.651329    74.82428
   355   0.0173379   23.651204    74.84126
   356   0.0173375   23.651078    74.85824
   357   0.0173372   23.650953    74.87522
   358   0.0173368   23.650827    74.89220
   359   0.0173364   23.650702    74.90918
   360   0.0173361   23.650576    74.92615
   361   0.0173357   23.650451    74.94313
   362   0.0173354   23.650325    74.96011
   363   0.0173350   23.650200    74.97709
   364   0.0173346   23.650074    74.99407
   365   0.0173343   23.649949    75.01105
   366   0.0173339   23.649823    75.02803
   367   0.0173335   23.649698    75.04501
   368   0.0173332   23.649572    75.06199
   369   0.0173328   23.649447    75.07897
   370   0.0173324   23.649321    75.09595
   371   0.0173321   23.649195    75.11293
   372   0.0173317   23.649070    75.12991
   373   0.0173313   23.648944    75.14689
   374   0.0173310   23.648819    75.16387
   375   0.0173306   23.648693    75.18085
   376   0.0173302   23.648568    75.19783
